Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1370.00,16821.53,820.18,1418.00,1068.43,3.39,56.77,74.87,160.08,31.71,121.54,162.66,-1.59,180.19,150.26,130.03,0.00,27.06,628.23,6.85,2590.40,7.93,6.41,160.08,621.71,23.79,17.88,25.42,25.00,2.96,565.41,391.52,1065.40,201.11,14.68,67.39,71.24,8.20,2.13,3307.59,780.46,1868.98,18.53,5.05,640.41,125559.00,127969.00,138500.00,5.54,7.18,12.42,2.13
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5400.00,64589.10,3590.06,6440.00,5479.92,8.99,2047.16,49.70,519.95,-20.47,653.76,312.10,107.47,773.93,653.03,779.11,0.00,28.42,4506.72,12.64,15081.28,13.36,10.95,520.98,2272.90,21.24,18.89,-0.05,13.93,3.00,1963.03,1912.84,5480.72,940.79,64.60,41.05,1563.08,9.96,1732.90,13796.19,1868.81,11473.21,17.87,4.67,3740.15,62822.00,62835.00,79740.00,10.42,22.64,17.25,1732.90
Alkyl Amines,506767,ALKYLAMINE,INE150B01039,Chemicals & Petrochemicals,Specialty Chemicals,1923.80,9849.82,316.44,4749.00,1739.17,15.50,1.19,72.04,94.63,91.40,49.44,45.37,108.57,72.21,42.26,42.94,0.00,43.74,441.43,13.36,1658.33,5.11,30.20,94.63,225.20,16.64,12.27,20.63,17.92,3.20,238.55,263.11,1737.32,92.28,14.12,55.46,204.06,10.87,201.70,1523.13,50.59,622.83,25.75,6.42,528.01,142625.00,146028.00,161021.00,3.50,3.10,21.36,201.70
Allied Blenders,544203,ABDL,INE552Z01027,Beverages,Breweries & Distilleries,595.45,16646.99,566.65,719.95,558.84,17.29,1150.53,80.91,49.22,-12.98,56.56,40.85,20.73,74.01,63.74,62.92,0.00,74.63,1061.87,7.25,3978.87,7.97,6.08,45.42,223.06,18.38,14.29,-7.15,4.64,23.97,361.96,-678.42,558.47,137.67,2.65,42.55,131.74,-8.16,165.18,1606.72,0.01,2939.72,30.97,10.02,978.94,112420.00,119762.00,105910.00,3.24,5.07,10.77,165.18
Alok Industries,521070,ALOKINDS,INE270A01029,Textiles & Apparels,Other Textile Products,11.54,5729.88,67.41,97.58,14.08,40.33,26105.76,75.00,-155.45,21.16,-197.16,-192.58,28.20,-195.86,-217.63,-162.38,0.00,,980.27,4.16,3775.41,3.86,6.50,-138.25,-733.19,-3.95,,18.60,-15.65,5.56,419.28,115.22,14.10,23.29,-0.39,34.41,71.51,-4.86,122.55,-22024.32,0.05,1439.38,230.79,,993.11,950058.00,965719.00,1033519.00,1.90,0.39,22.73,122.55
Alpex Solar,,ALPEXSOLAR,INE0R4701017,Electrical Equipment,Other Electrical Equipment,828.95,2117.39,327.39,1449.70,907.87,39.79,536.52,65.90,39.87,-5.72,42.29,53.27,-25.15,135.37,54.27,52.67,6.47,10.55,1138.30,117.68,2346.38,116.51,32.37,39.87,200.73,43.53,51.96,60.98,7.92,-14.08,-115.61,68.84,908.66,165.35,53.00,49.96,45.86,-21.26,149.73,536.26,1.48,906.05,7.32,3.77,503.42,8517.00,8032.00,6010.00,3.13,0.40,30.58,149.73
Altius Telecom,543225,,INE0BWS23018,Telecom - Services,Telecom - Infrastructure,173.00,52720.02,10181.50,173.00,157.44,0.00,52667.00,,375.30,65.55,226.70,309.80,21.14,388.41,290.10,280.00,,41.67,6421.04,5.61,24160.10,9.79,-0.08,375.30,1265.19,8.60,8.07,53.56,6.23,0.70,9851.10,7066.40,157.28,2672.26,1.27,63.89,1368.00,10.71,1920.80,-21315.40,0.00,7760.20,10.01,4.60,6025.10,,,,,,,1920.80
Amagi Media Labs,544679,AMAGI,INE121R01077,IT - Services,IT Enabled Services,576.45,12647.67,114.90,727.40,454.37,20.75,30.98,14.92,33.91,760.66,3.94,34.26,-1.02,,30.94,2.53,3.10,124.44,,,1612.42,29.50,32.36,33.91,101.64,8.00,10.30,204.31,7.76,-14.88,-9.24,33.57,453.15,,,43.34,492.02,-5.52,1218.30,1648.64,229.38,2171.14,76.79,7.10,436.88,15350.00,17485.00,,42.23,37.11,5.73,1218.30
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,930.85,17020.42,1633.84,1775.95,890.26,12.02,372.75,32.86,202.80,4.53,194.01,187.45,-37.08,264.77,151.69,302.40,0.00,21.69,3915.52,15.56,14240.38,12.81,20.64,202.80,784.63,13.43,8.26,-6.15,5.02,1.21,1340.03,1375.20,889.85,431.98,14.47,54.09,165.30,8.63,115.37,8142.45,2585.49,3831.35,10.42,2.09,4041.44,818619.00,809144.00,871584.00,17.34,15.31,34.50,115.37
Amber Enterp.,540902,AMBER,INE371P01015,Consumer Durables,Household Appliances,7275.00,25621.96,982.43,8974.00,7337.21,18.93,2701.59,38.09,100.37,-3.37,103.87,93.47,-98.09,-15.02,-9.34,-32.15,0.00,124.18,1901.03,15.42,12625.07,14.56,12.72,3.09,206.33,10.25,5.95,-24.97,2.09,4.14,240.16,710.89,7337.83,129.24,-4.26,46.32,726.77,-1.69,465.55,4336.93,37.84,6449.68,26.23,5.86,3887.72,119692.00,116560.00,132907.00,20.47,30.54,10.88,465.55
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Cement & Cement Products,Cement & Cement Products,411.00,102503.30,7428.67,706.95,469.47,31.59,865.93,67.33,593.33,-29.75,844.64,1931.50,-64.46,670.70,402.88,2302.28,0.00,21.77,9541.15,4.00,39867.14,7.07,-7.67,660.00,4708.12,5.61,8.85,3.82,7.14,2.13,5361.53,2237.35,470.06,1602.26,2.36,38.27,6172.16,-2.52,958.60,58852.96,113.17,13715.93,14.77,1.71,9500.00,674206.00,607505.00,618855.00,5.63,19.44,7.38,958.60
Amic Forging,544037,,INE0P9J01013,Industrial Products,Castings & Forgings,1921.10,2218.64,43.79,2057.00,1606.10,6.61,5.64,57.96,15.87,23.69,12.83,12.37,28.29,,,,0.00,78.48,,,141.78,17.79,30.44,15.87,28.27,23.46,16.79,37.23,21.10,29.03,8.86,6.02,1602.94,,,55.54,19.53,-18.04,6.77,201.64,11.28,93.05,50.64,9.72,75.20,2686.00,2723.00,2888.00,0.15,0.56,41.32,6.77
Anand Rathi Shar,544530,ARSSBL,INE549H01021,Capital Markets,Stockbroking & Allied,497.65,3132.83,383.96,795.10,532.58,37.41,840.31,69.62,39.16,67.57,23.37,41.99,-44.01,60.73,37.87,28.59,6.15,21.22,276.73,21.86,976.16,17.09,22.22,23.51,147.61,19.82,14.17,53.07,15.94,0.79,745.44,673.88,532.93,112.95,9.63,38.54,2210.89,27.82,3543.35,1321.60,44.21,5879.15,1.06,2.31,245.68,81900.00,80457.00,,0.15,4.06,26.17,3543.35
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,2171.10,36066.51,572.18,2230.00,1740.06,2.64,83.25,41.37,163.22,76.97,92.23,102.23,59.66,127.54,99.81,97.16,13.83,78.00,351.14,22.74,1155.70,22.89,18.21,163.22,462.42,57.47,45.30,46.60,52.16,12.79,253.71,351.91,1735.73,140.66,7.68,63.98,22.70,28.88,223.10,983.55,315.70,828.33,54.86,35.16,312.95,80729.00,64931.00,59186.00,6.37,10.40,41.86,223.10
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty,"Residential, Commercial Projects",633.85,22821.64,723.15,947.90,554.20,14.82,680.55,57.43,149.64,18.88,125.88,146.60,0.32,179.59,144.23,138.18,0.00,39.44,724.62,14.87,2550.59,16.97,6.58,149.19,578.61,12.07,11.15,25.67,23.63,36.62,-434.78,253.34,553.40,198.64,4.99,64.08,346.13,-4.02,911.47,5716.73,183.26,3666.77,29.52,3.94,631.40,375155.00,368350.00,257866.00,10.74,4.60,27.22,911.47
Anantam Highways,544579,ANANTAM,INE1UA823019,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",105.39,2299.00,302.10,117.00,104.89,9.92,2101.18,,59.43,3791.30,-1.61,202.87,-70.71,,-4.16,-1.59,0.00,8.96,,,484.13,,,59.43,256.55,13.71,16.75,385960.00,37.60,,486.65,0.00,104.89,,,51.64,0.00,,191.88,128.92,0.00,590.61,9.70,0.99,158.05,,,,,,,191.88
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,289.50,26451.25,1834.44,390.04,291.40,19.68,7951.41,28.59,231.40,102.15,114.47,320.24,-27.74,357.61,268.66,211.73,0.00,25.63,1462.26,21.68,5425.77,9.09,25.35,231.40,1032.03,14.77,15.59,3.84,16.19,-2.13,-4141.74,-1859.84,291.42,522.95,3.91,36.23,11804.42,-19.53,16560.49,6026.71,257.36,18003.73,8.72,4.31,1429.69,356468.00,359235.00,325965.00,13.76,20.34,37.30,16560.49
Antelopus Selan,530075,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,796.65,2800.34,167.49,1099.80,692.47,14.74,3.55,69.94,61.79,450.71,11.22,38.08,42.65,51.88,28.50,11.81,0.00,19.98,110.77,100.93,359.29,46.50,158.82,54.32,140.18,21.22,15.93,119.13,47.15,3.26,120.60,125.75,691.42,67.85,14.75,46.07,23.57,-6.63,52.14,620.29,16.65,183.64,11.92,4.27,131.04,24275.00,26349.00,26109.00,0.41,0.76,28.90,52.14
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,874.50,49261.83,987.43,904.00,750.29,3.26,53.93,71.42,119.94,-11.67,135.79,189.10,-36.79,171.60,92.82,173.43,0.00,83.03,550.71,0.12,2002.34,-2.14,-22.58,119.94,593.31,30.37,22.28,17.56,28.68,10.40,844.49,270.55,749.04,211.85,3.05,63.75,172.28,5.84,274.88,2930.17,1007.46,1137.56,51.58,16.15,418.22,173273.00,180220.00,,2.57,13.48,12.52,274.88
Anupam Rasayan,543275,ANURAS,INE930P01018,Chemicals & Petrochemicals,Specialty Chemicals,1239.40,14136.51,543.01,1415.40,1233.37,12.43,1867.49,59.07,38.64,13.51,34.04,42.65,-8.54,114.95,60.59,57.15,21.79,80.91,1061.86,45.18,2534.61,51.76,34.82,51.22,174.72,7.36,5.50,41.51,7.82,11.68,334.33,-30.13,1233.31,234.32,7.62,55.82,127.72,-7.93,393.63,3187.99,18.52,3727.51,26.51,4.23,654.98,42776.00,43475.00,47711.00,7.72,0.38,32.82,393.63
Anzen IYEP Trust,543655,ANZEN,INE0MIZ23019,Power,Power - Transmission,131.50,3362.70,390.16,134.00,117.88,1.87,5043.71,,43.39,354.35,9.55,1.79,1400.83,-14.87,-3.96,-8.05,0.00,101.38,232.43,130.89,647.59,106.47,160.84,54.03,33.17,3.28,-0.20,822.66,18.75,,424.84,240.01,117.75,186.21,-0.47,55.10,106.48,-22.64,739.88,-617.27,206.83,1002.13,14.57,1.65,288.12,,,,,,,739.88
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,16784.00,70309.64,1940.78,18465.00,12130.52,9.10,955.51,57.76,467.45,77.80,262.91,259.14,84.44,495.49,208.92,251.70,0.00,58.33,7176.69,25.57,24389.02,23.96,29.13,467.45,1205.33,31.12,20.23,36.71,7.09,9.64,967.58,1290.57,12083.75,669.70,118.33,59.32,761.03,2.36,731.88,5353.21,58.73,11196.76,31.28,12.50,6591.06,95279.00,89009.00,112365.00,10.76,23.02,8.47,731.88
Apcotex Industri,523694,APCOTEXIND,INE116A01032,Industrial Products,Rubber,613.65,3179.16,194.12,712.45,467.26,13.87,96.39,58.23,78.94,312.00,19.16,34.74,127.23,50.78,22.22,25.30,0.00,19.74,410.76,22.00,1591.36,11.17,39.88,78.94,161.02,19.80,17.09,175.58,15.02,2.56,203.44,84.72,465.79,66.70,9.79,55.70,39.04,10.10,45.97,610.62,117.36,472.94,11.82,5.12,525.63,30918.00,30391.00,32692.00,0.69,1.91,39.18,45.97
Apeejay Surrend.,544111,PARKHOTELS,INE988S01028,Leisure Services,Hotels & Resorts,116.40,2483.68,223.74,235.00,127.40,29.07,372.89,68.21,11.49,-17.04,13.85,12.06,-3.28,23.52,24.20,16.21,0.00,38.60,181.92,8.70,717.90,10.34,8.12,11.49,64.35,9.43,5.09,-35.22,6.89,1.34,181.51,157.62,127.51,53.73,1.10,38.02,21.43,-0.93,24.21,1320.98,77.21,316.53,12.44,1.85,166.78,50557.00,51406.00,46386.00,4.07,8.81,18.91,24.21
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,2140.00,59584.58,1913.67,2301.40,1885.70,7.01,497.65,28.25,263.11,10.94,237.17,354.35,-25.75,360.17,310.04,301.54,0.00,48.48,5756.68,10.57,23064.55,10.44,8.45,263.11,1229.04,31.64,25.31,53.43,4.69,4.13,2103.19,1213.28,1883.15,459.11,12.97,77.06,574.91,15.44,886.23,5240.99,48.49,3854.14,30.10,11.22,5606.71,158947.00,158128.00,183416.00,35.12,18.58,18.04,886.23
Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8735.00,124896.47,3928.60,9326.80,8036.76,6.35,8492.90,28.02,580.70,34.17,432.80,529.30,10.72,758.56,516.30,494.00,2.49,59.37,7467.49,18.47,26429.90,17.20,20.56,610.40,2103.65,17.45,21.15,33.69,8.67,5.00,2855.70,2136.40,8029.74,1134.24,50.19,46.70,1360.20,4.09,1116.80,9408.20,2178.70,5883.30,31.09,13.25,7043.50,174281.00,174610.00,141007.00,41.49,23.72,6.53,1116.80
Apollo Micro Sys,540879,APOLLO,INE713T01028,Aerospace & Defense,Aerospace & Defense,386.75,14403.27,224.43,466.70,317.58,17.13,543.26,49.98,26.91,45.38,18.51,37.62,-31.48,72.43,22.88,30.03,30.51,118.72,401.38,78.19,1022.03,69.08,88.12,25.21,121.32,14.47,11.76,82.52,10.03,-34.20,-129.76,10.24,316.89,93.34,1.95,46.02,62.48,-13.61,156.11,1277.37,0.00,1665.51,61.98,10.52,251.29,398043.00,373806.00,305636.00,7.59,1.71,40.72,156.11
Apollo Pipes,531761,APOLLOPIPE,INE126J01016,Industrial Products,Plastic Products - Industrial,603.25,2654.68,69.12,798.85,442.64,0.45,123.87,51.72,-8.57,-205.28,8.14,0.99,-8453.85,-6.08,-4.75,1.39,0.00,,242.34,2.81,1125.34,-1.99,7.43,-11.12,-9.22,1.23,-0.88,-132.57,-3.76,,35.19,28.67,441.02,10.06,-1.06,78.19,137.75,-5.31,83.88,775.09,68.46,471.20,46.06,3.24,295.43,39071.00,44305.00,45226.00,2.53,7.20,38.29,83.88
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,429.30,27284.04,4284.19,584.90,443.08,20.57,3675.23,36.93,331.31,0.09,331.01,935.47,-44.71,557.51,470.52,258.05,0.01,12.79,7675.81,12.37,29307.63,11.23,12.76,348.87,2133.34,13.86,13.07,72.55,4.48,0.83,3667.37,1823.14,443.21,1054.59,8.78,44.72,897.50,10.40,1044.03,16651.66,62.20,10698.32,6.93,1.63,7397.79,426532.00,408704.00,421813.00,10.09,29.05,21.97,1044.03
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,253.30,12693.23,1874.36,401.70,271.82,30.57,7903.77,23.86,260.94,19.01,219.25,260.95,0.00,373.67,236.19,226.55,0.00,12.89,648.03,19.11,2272.27,21.14,15.38,260.94,984.63,15.41,20.11,23.27,43.47,-1.01,-489.26,-1404.91,272.01,534.62,7.46,37.34,423.74,-9.02,590.74,4959.89,240.15,838.52,10.39,2.51,600.29,166122.00,166229.00,164752.00,29.96,29.90,16.27,590.74
Archean Chemical,543657,ACI,INE128X01021,Chemicals & Petrochemicals,Specialty Chemicals,499.95,6174.13,259.58,838.20,563.33,31.14,466.38,53.43,30.68,-23.66,40.19,13.42,148.24,24.69,24.00,29.04,24.49,63.76,237.76,1.97,1115.88,-0.43,11.92,30.36,96.83,7.41,5.42,-49.20,9.28,1.64,139.63,176.23,563.97,52.93,2.00,38.87,52.84,-1.10,55.00,1909.70,256.86,525.30,26.10,3.19,327.20,67113.00,64925.00,75697.00,11.00,24.18,11.40,55.00
Arkade,544261,ARKADE,INE0QRL01017,Realty,"Residential, Commercial Projects",131.01,2431.43,201.18,213.69,132.50,30.92,99.06,71.19,19.08,-33.66,28.76,72.52,117.41,61.55,40.30,45.81,0.00,13.68,303.66,15.17,803.93,12.10,-7.83,19.08,177.68,19.29,20.83,14.29,12.98,-2.12,-119.29,-217.72,132.51,66.49,3.31,46.33,134.06,-9.66,25.46,696.50,73.97,1043.25,13.16,2.76,146.97,61136.00,62202.00,70242.00,0.13,0.08,28.59,25.46
Arman Financial,531179,ARMANFIN,INE109C01017,Finance,Non Banking Financial Company (NBFC),1973.10,2073.54,284.47,2680.00,1692.28,8.61,1775.72,22.00,45.17,409.81,-14.58,41.01,10.14,25.66,22.18,7.99,0.00,17.82,175.01,9.92,696.64,0.00,33.63,45.17,116.35,11.74,6.26,1779.64,22.39,-0.65,-476.40,492.82,1689.45,90.43,24.41,54.65,403.42,-4.38,398.88,922.82,92.46,431.20,9.46,2.22,201.78,32079.00,33752.00,37608.00,3.08,4.85,70.07,398.88
Artemis Medicare,542919,ARTEMISMED,INE025R01021,Healthcare Services,Hospital,321.30,5084.76,215.03,350.00,264.55,1.61,260.40,58.39,31.05,44.96,21.42,29.55,5.08,37.91,22.51,29.96,0.00,44.06,310.63,15.14,1092.70,15.49,12.89,31.05,115.41,14.53,11.88,31.21,11.01,3.53,128.82,150.18,263.98,58.07,2.39,67.86,393.26,3.39,205.77,922.84,15.02,358.00,22.53,5.42,282.01,36335.00,32044.00,31614.00,12.28,2.40,20.76,205.77
Arvind Fashions.,542484,ARVINDFASN,INE955V01021,Retailing,Speciality Retail,428.30,5723.18,760.72,792.04,464.13,26.03,1335.88,35.10,9.71,-23.57,12.71,43.98,-58.38,75.60,36.11,56.35,8.31,43.67,1624.57,14.61,5437.38,13.94,15.46,27.61,131.05,19.55,14.07,666.17,2.19,1.15,404.31,529.52,464.49,213.38,1.96,31.43,164.73,15.06,63.91,890.18,0.00,2777.78,9.16,6.07,1278.50,174838.00,177446.00,189948.00,12.15,24.99,27.76,63.91
Arvind Ltd,500101,ARVIND,INE034A01011,Textiles & Apparels,Garments & Apparels,539.00,14616.30,1067.49,600.00,437.30,10.17,1659.52,38.09,67.02,25.89,53.24,155.20,-64.89,147.62,100.97,106.74,7.24,33.32,2797.41,17.98,9797.83,15.21,24.65,57.77,438.65,13.84,10.88,19.39,2.90,1.63,867.08,762.88,436.28,292.13,5.02,50.18,116.58,6.55,163.49,3782.07,268.54,4441.27,14.14,3.49,2500.96,181024.00,176908.00,186124.00,15.88,22.78,23.26,163.49
Arvind SmartSp.,539301,ARVSMART,INE034S01021,Realty,"Residential, Commercial Projects",659.10,3024.84,165.55,1025.00,605.26,5.00,583.18,53.83,99.01,785.60,11.18,42.32,120.49,77.58,29.22,18.07,0.00,16.42,301.86,114.83,779.92,5.31,212.14,97.39,184.27,12.37,14.16,55.16,30.66,-7.36,-170.44,-83.98,604.72,103.37,16.90,61.12,56.45,-7.80,174.44,603.32,121.36,2520.56,11.18,4.66,317.63,92477.00,93140.00,96519.00,0.69,8.99,36.50,174.44
Asahi India Glas,515030,ASAHIINDIA,INE439A01020,Auto Components,Auto Components & Equipments,951.55,24262.67,959.04,1074.00,881.58,11.40,2197.96,51.58,149.08,165.41,56.17,132.30,12.42,136.54,99.47,58.19,3.36,54.35,1300.69,12.98,5174.58,10.32,15.03,149.08,446.41,11.76,10.71,37.04,10.55,3.39,501.69,719.97,880.88,258.54,5.36,62.51,164.54,-5.34,245.31,3906.60,77.72,2330.99,24.13,6.17,1413.39,64157.00,64539.00,63611.00,4.85,5.26,38.31,245.31
Ashapura Minech.,527001,ASHAPURMIN,INE348A01023,Minerals & Mining,Industrial Minerals,599.95,5734.98,699.73,924.90,635.04,35.13,1443.74,48.04,115.34,4.99,109.86,110.73,-10.22,150.90,75.95,105.98,0.00,13.95,2017.01,111.76,5497.68,62.64,19.22,108.31,410.98,20.72,28.05,18.75,6.70,2.27,462.86,188.40,635.39,235.05,15.80,35.29,121.51,-1.81,329.33,1630.18,370.65,2587.96,9.77,3.47,1616.12,47193.00,43255.00,33267.00,19.22,0.40,32.34,329.33
Ashiana Housing,523716,ASHIANA,INE365D01021,Realty,"Residential, Commercial Projects",367.30,3706.37,173.94,469.00,344.28,18.01,306.63,61.11,13.11,3.07,12.72,20.98,-37.51,30.68,56.66,27.54,0.00,31.33,293.98,77.55,957.68,37.13,-63.30,13.11,118.29,14.45,14.52,195.43,12.20,2.01,342.19,233.51,344.05,36.38,3.05,41.85,393.40,20.86,625.08,853.01,257.21,4386.51,19.86,4.23,107.44,24051.00,23194.00,25086.00,8.19,8.08,22.63,597.86
Ashika Global Securities.,543766,ASHIKAG,INE094B01013,Finance,Non Banking Financial Company (NBFC),432.80,3213.74,141.77,915.00,392.89,16.92,261.79,74.32,101.30,15.48,87.72,-35.09,384.42,,-3.99,12.49,0.00,42.80,,,283.60,5561.56,43.30,100.97,75.09,13.33,7.49,217.09,59.86,,-86.03,-390.20,392.49,,,49.33,8.16,-18.41,485.39,1124.37,722.86,577.11,18.17,1.66,168.69,4572.00,4341.00,3921.00,1.45,0.44,23.80,485.39
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,173.80,101852.23,11242.95,215.42,161.20,19.32,63935.70,51.51,615.81,0.78,611.07,1303.31,-51.66,1126.58,862.24,819.70,40.10,27.35,14613.23,16.19,57723.13,16.50,11.62,667.77,3723.71,13.63,27.43,16.59,5.11,-3.21,-4894.71,128.47,161.07,2772.23,1.77,58.02,7263.44,-7.43,10757.22,13654.30,7467.08,37420.27,13.24,7.17,13069.59,1645114.00,1502640.00,1392223.00,20.67,15.75,11.99,10757.22
Ashoka Buildcon,533271,ASHOKA,INE442H01029,Construction,Civil Construction,112.07,3144.66,2061.26,319.00,141.45,47.75,1608.46,54.47,127.77,-41.23,217.39,152.78,-13.37,207.58,2111.41,90.69,0.00,4.65,1406.23,-24.04,7132.42,-24.59,-20.53,127.17,676.82,26.52,15.34,-61.57,8.48,0.32,654.58,1673.45,141.74,322.38,7.39,27.62,376.68,12.68,662.51,6438.92,439.78,6648.50,2.40,0.48,1499.61,201522.00,196709.00,198952.00,4.39,14.02,27.10,662.51
Asian Energy,530355,ASIANENE,INE276G01015,Oil,Oil Equipment & Services,484.90,2369.04,107.75,490.00,335.59,1.04,158.64,56.14,11.96,115.50,5.55,33.91,-60.92,10.29,17.53,-3.97,0.00,36.68,208.35,104.26,946.87,82.01,135.06,12.76,64.59,16.51,12.93,41.59,4.71,44.53,52.99,-33.08,334.09,19.07,1.98,72.95,77.70,-8.20,146.85,449.26,11.94,715.10,20.02,4.41,271.19,23990.00,20289.00,21701.00,1.39,0.27,42.19,146.85
Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables,Paints,2625.20,252923.82,7589.12,3590.00,2592.08,12.07,3928.93,52.63,1539.25,39.96,1099.77,1172.12,31.54,1471.04,1073.92,1018.23,9.54,51.86,9569.53,12.17,37186.93,9.78,17.94,1559.45,4877.01,26.34,21.79,26.67,14.79,4.44,7088.18,4423.96,2591.74,1842.03,15.14,36.31,781.98,16.32,1073.68,21275.67,7061.74,13898.81,31.27,11.78,10541.94,959219.00,1001799.00,1171145.00,13.32,20.70,13.19,1073.68
ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,643.85,12726.50,552.00,687.70,481.63,6.38,679.01,74.95,85.12,28.83,66.07,71.54,18.98,124.45,79.92,79.80,0.00,40.23,1448.94,37.51,4643.15,27.91,52.38,85.12,316.38,25.42,25.13,23.18,6.27,4.08,301.19,360.20,480.00,178.47,6.31,66.91,20.06,-2.35,12.91,1271.67,45.36,740.57,22.67,9.68,1358.11,79443.00,83847.00,78376.00,9.50,10.97,4.58,12.91
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,4578.85,6679.01,106.42,5165.00,3476.77,11.35,127.68,57.65,26.82,72.25,15.57,16.11,60.02,41.03,9.31,19.12,9.31,91.43,252.98,63.79,604.42,68.31,61.75,26.82,73.05,26.95,25.47,86.64,13.49,34.22,68.03,-23.48,3465.69,51.78,28.13,50.80,13.16,-7.61,29.16,292.45,88.27,230.17,52.33,21.75,198.82,28766.00,28455.00,21747.00,0.49,0.72,41.13,29.16
Aster DM Quality,540975,ASTERDM,INE914M01019,Healthcare Services,Hospital,765.65,66697.93,989.63,891.30,712.91,14.10,2219.66,53.72,47.54,-46.12,88.23,139.93,-80.94,161.00,58.65,121.31,18.17,184.79,1411.01,17.86,4876.03,15.70,21.60,29.28,360.94,11.40,10.70,2.06,6.61,6.08,655.92,425.05,712.38,271.10,1.01,33.04,1380.00,-1.84,1325.36,4057.73,1166.56,1947.79,64.51,8.67,1310.68,133338.00,136892.00,148139.00,10.32,16.48,19.48,1325.36
Astra Microwave,532493,ASTRAMICRO,INE386C01029,Aerospace & Defense,Aerospace & Defense,1684.20,15973.27,360.05,1960.00,1310.15,14.07,287.66,6.54,12.35,-24.09,16.27,105.98,-88.35,30.51,46.81,23.90,0.00,84.50,229.10,6.76,1139.74,4.02,-11.55,12.35,189.04,20.25,15.99,16.28,6.99,31.28,386.73,-90.15,1306.39,53.79,3.21,45.29,98.17,-2.00,252.85,1295.58,49.73,1620.51,45.29,12.16,176.66,117894.00,116138.00,107384.00,10.74,16.09,66.64,252.85
Astral,532830,ASTRAL,INE006I01046,Industrial Products,Plastic Products - Industrial,1532.00,41314.98,1082.70,2454.00,1498.59,13.38,250.30,54.22,120.20,48.21,81.10,217.38,-43.57,196.76,107.70,134.80,0.00,69.74,1859.20,17.86,6785.40,16.79,15.93,120.20,592.39,19.22,13.85,22.27,7.62,4.50,1117.00,629.60,1498.26,294.04,7.32,59.25,608.30,8.29,943.40,4031.00,0.00,2639.10,35.04,10.14,1578.00,264925.00,258441.00,298456.00,13.89,20.93,10.59,943.40
Astrazeneca Phar,506820,ASTRAZEN,INE203A01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,7507.00,18748.25,290.36,10691.00,8381.51,23.79,110.66,75.00,38.11,-32.04,56.08,45.69,-15.49,64.95,32.59,54.22,0.00,108.07,724.55,29.59,2432.06,31.10,29.73,37.93,173.48,29.26,23.29,-17.96,5.58,31.62,-15.14,65.36,8390.30,72.18,25.98,29.78,536.70,2.36,448.62,867.79,0.00,1739.93,71.82,21.50,682.79,29338.00,29007.00,34378.00,2.68,6.08,16.24,448.62
