Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
Life Insurance,543526,LICI,INE0J1Y01017,Insurance,Life Insurance,419.00,530163.15,54182.18,611.01,419.88,10.56,0.00,96.50,13584.25,23.98,10957.05,23467.18,-42.11,12898.66,12907.90,10095.92,0.00,8.82,267103.27,10.59,994087.99,10.13,6.76,13584.25,60080.35,35.14,37.82,23.28,5.66,5.13,-26211.48,-9720.57,419.88,12891.35,10.20,53.26,69884.66,-2.58,72013.17,0.00,0.00,0.00,9.92,,239865.70,2152897.00,2111766.00,2277180.00,0.44,0.99,2.06,0.00
Linde India,523457,LINDEINDIA,INE473A01011,Chemicals & Petrochemicals,Industrial Gases,6695.00,57111.15,975.82,9935.05,6820.93,16.82,78.92,75.00,103.03,-1.94,105.07,85.20,20.93,185.57,191.59,169.01,0.00,104.06,731.12,13.49,2653.91,10.43,21.59,103.03,548.83,18.23,13.74,24.35,14.84,7.55,785.50,583.60,6822.19,258.56,21.76,39.97,146.71,-6.90,112.15,4142.24,43.00,1051.52,58.15,13.51,694.36,63024.00,63167.00,68796.00,2.03,6.79,16.17,112.15
Lloyds Engineeri,539992,LLOYDSENGG,INE093R01011,Industrial Manufacturing,Industrial Products,92.25,14266.61,226.63,99.78,69.73,7.55,108.57,41.92,63.97,111.96,30.18,46.83,46.76,,66.70,54.35,10.64,63.78,,,1611.28,53.85,142.92,68.23,223.67,16.10,15.10,69.76,12.94,,-252.90,153.22,69.51,,,53.15,126.99,,396.72,1526.90,76.53,1668.76,49.40,7.72,527.15,418796.00,418248.00,436749.00,2.02,0.29,55.68,396.72
Lloyds Enterpris,512463,LLOYDSENT,INE080I01025,Metals & Minerals Trading,Trading - Metals,78.55,11968.82,205.63,88.15,67.55,7.28,798.31,62.72,58.58,-74.50,229.73,39.44,60.51,36.59,37.93,61.84,0.00,104.95,604.50,48.68,1988.42,32.92,70.15,109.98,114.04,3.67,0.33,-59.37,19.53,-13.48,-361.22,144.51,67.44,59.74,0.13,50.19,176.11,-1.48,908.67,3991.55,3515.25,2809.71,32.09,2.83,563.03,70580.00,70709.00,56812.00,0.65,0.11,36.53,908.67
Lloyds Metals,512455,LLOYDSME,INE281B01032,Minerals & Mining,Industrial Minerals,1891.40,106340.76,6408.83,2126.75,1602.72,11.07,20716.36,61.63,1726.59,169.11,641.59,1419.50,13.32,3764.23,1089.56,567.39,3.72,22.31,13217.73,262.00,22083.55,230.21,208.55,1733.89,4765.84,27.29,36.58,210.66,23.58,8.13,2921.32,1206.94,1599.82,4562.83,66.59,44.23,740.87,-14.84,2702.93,13814.61,665.69,9718.84,14.67,7.67,7354.40,126658.00,119530.00,116161.00,1.85,2.18,34.27,2702.93
LMW,500252,LMW,INE269B01029,Industrial Manufacturing,Industrial Products,19570.00,20925.57,277.56,20151.00,15608.38,2.88,0.00,30.80,57.38,369.17,12.23,64.01,-12.83,26.49,14.66,40.92,0.00,114.55,948.10,15.36,3374.00,11.24,24.00,55.52,182.68,5.58,4.05,75.98,6.67,7.00,177.41,29.04,15568.57,60.69,24.80,74.66,1353.16,0.17,1264.47,2855.84,705.63,2321.15,53.22,7.29,860.72,30685.00,31201.00,32140.00,5.45,9.50,54.23,1264.47
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",1240.00,124309.07,5322.40,1649.95,1061.32,7.80,9896.00,70.31,1372.10,103.36,674.70,1007.90,36.21,1325.77,957.70,789.80,0.00,30.13,4867.09,28.13,18181.20,26.04,43.10,1373.10,4125.60,16.41,15.48,39.20,27.48,5.08,959.30,1565.60,1059.52,1601.32,13.26,58.00,1741.50,4.56,3586.10,22287.30,1453.70,53889.90,20.80,5.32,4996.70,158746.00,147462.00,99267.00,23.65,3.56,2.46,3586.10
Lohia Corp,544839,LCL,INE0QJW01029,Industrial Manufacturing,Industrial Products,539.85,5704.02,338.85,580.40,499.81,6.99,175.07,68.66,66.61,295.78,16.83,70.30,-7.28,,,,,22.99,,,1717.00,24.70,59.51,66.26,198.32,43.77,44.59,70.76,13.17,,325.16,141.28,499.40,,,56.70,37.13,,29.25,510.99,156.88,746.57,17.26,,503.02,82041.00,,,5.65,17.51,8.16,29.25
Lords Mark Industries,501261,,INE567L01025,Commercial Services & Supplies,Consulting Services,83.69,3570.40,91.97,669.70,231.22,87.50,282.37,79.84,32.16,107300.00,-0.03,41.22,-21.98,,13.95,-2.42,0.00,42.05,,,882.06,,,32.16,84.91,13.42,11.30,9132.98,11.47,-137.85,-4.34,-4.34,232.71,,,31.42,0.03,-0.46,143.29,611.10,0.00,959.37,26.65,3.44,280.36,3257.00,3210.00,87.00,0.00,0.42,19.74,130.67
LTM,540005,LTM,INE214T01019,IT - Software,Computers - Software & Consulting,4553.00,135927.22,8649.60,7595.25,4637.66,29.19,2310.00,68.49,1466.30,16.92,1254.10,1347.00,5.86,1798.73,959.60,1381.20,0.00,24.23,11983.85,15.29,44075.00,13.87,17.96,1468.60,5609.89,29.60,23.13,18.88,12.65,2.55,4798.80,4545.80,4638.52,2172.23,60.55,55.54,3588.20,16.03,2812.40,23995.40,12567.70,15661.70,15.18,5.62,11608.00,397187.00,375351.00,418455.00,6.31,16.73,8.30,2812.40
Lumax Auto Tech.,532796,LUMAXTECH,INE872H01027,Auto Components,Auto Components & Equipments,2043.70,13940.97,698.56,2110.00,1526.75,3.14,1231.10,55.98,86.64,109.17,41.42,87.80,1.13,129.94,108.06,77.55,0.00,42.05,1528.54,32.19,5207.57,33.28,32.86,98.64,331.56,21.19,26.43,76.83,7.23,4.49,460.16,290.49,1521.55,210.39,16.75,73.40,79.65,6.78,93.59,1196.58,564.69,1729.75,19.47,11.51,1363.62,64759.00,58405.00,42978.00,8.70,16.53,18.79,93.59
