TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-19,2026-08-19,CM,BSE,STK,500247,INE237A01036,KOTAKBANK,A,,,,,KOTAK MAHINDRA BANK LTD.,387.30,392.70,386.75,392.05,392.05,387.30,,390.25,,,255419,99522723.00,2920,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500248,INE073A01019,KRIFILIND,X,,,,,KRISHNA FILAMENT INDUSTRIES LI,5.12,5.12,4.86,4.86,4.86,5.10,,4.86,,,4009,19484.00,6,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500249,INE999A01023,KSB,A,,,,,KSB LIMITED,790.35,813.00,788.20,807.60,808.10,793.45,,807.13,,,102144,81731390.00,936,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500250,INE337A01034,LGBBROSLTD,A,,,,,L.G.BALAKRISHNAN & BROS.LTD.,1570.60,1604.00,1560.00,1601.85,1604.00,1605.90,,1602.88,,,2400,3812704.00,346,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500251,INE849A01020,TRENT,A,,,,,TRENT LTD.,2939.10,2972.00,2939.10,2944.00,2944.00,2943.00,,2952.98,,,36169,106827642.00,2615,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500252,INE269B01029,LMW,A,,,,,LMW Limited,19713.05,19889.05,19520.15,19647.20,19631.75,19737.50,,19664.54,,,138,2715758.00,102,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500253,INE115A01026,LICHSGFIN,A,,,,,LIC HOUSING FINANCE LTD.,501.75,501.75,496.85,498.50,498.50,499.50,,497.02,,,41367,20636824.00,1351,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500257,INE326A01037,LUPIN,A,,,,,LUPIN LTD.,2225.45,2227.95,2202.90,2220.00,2220.00,2225.00,,2225.00,,,10235,22679890.00,1163,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500259,INE933A01014,LYKALABS,T,,,,,LYKA LABS LTD.,70.61,70.61,70.61,70.61,70.61,69.23,,70.61,,,172,12144.00,3,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500260,INE331A01037,RAMCOCEM,A,,,,,THE RAMCO CEMENTS LIMITED,909.65,915.65,893.00,900.85,909.00,910.15,,902.12,,,189123,169619919.00,6370,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500262,INE965B01022,HYBRIDFIN,T,,,,,HYBRID FINANCIAL SERVICES LIMI,17.15,17.15,17.10,17.10,17.10,18.00,,17.01,,,275,4708.00,11,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500264,INE270B01035,MAFATIND,B,,,,,MAFATLAL INDUSTRIES LTD.,121.00,123.00,120.60,122.10,123.00,122.30,,122.33,,,3613,440209.00,59,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500265,INE271B01025,MAHSEAMLES,A,,,,,MAHARASHTRA SEAMLESS LTD.,619.10,623.50,612.85,613.85,613.00,619.75,,613.90,,,3362,2078888.00,274,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500266,INE288A01013,MAHSCOOTER,A,,,,,MAHARASHTRA SCOOTERS LTD.,13228.75,13439.20,13181.90,13359.10,13384.00,13228.75,,13349.11,,,336,4481184.00,154,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500267,INE201B01022,MAJESAUT,T,,,,,MAJESTIC AUTO LTD.,353.90,358.40,345.00,353.70,354.00,349.10,,354.02,,,1117,390034.00,79,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500268,INE201A01024,MANALIPETC,B,,,,,MANALI PETROCHEMICAL LTD.,71.65,78.62,71.56,72.78,72.62,71.04,,72.80,,,423260,32161285.00,1997,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500270,INE461A01024,BARODARY,X,,,,,BARODA RAYON CORPORATION LTD.,123.20,124.00,114.00,123.90,124.00,123.20,,123.90,,,5744,692252.00,90,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500271,INE180A01020,MFSL,A,,,,,Max Financial Services Limited,1588.50,1588.50,1549.80,1553.00,1553.00,1584.45,,1546.12,,,9854,15389928.00,1217,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500277,INE401C01018,MIDINDIA,X,,,,,MID INDIA INDUSTRIES LTD.,5.97,5.97,5.90,5.90,5.90,6.00,,5.90,,,230,1359.00,5,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500279,INE831A01028,ONIDA,B,,,,,ONIDA ELECTRONICS LIMITED,35.50,37.34,34.00,36.80,36.75,35.73,,36.92,,,109668,3950226.00,887,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500280,INE485A01015,CENTENKA,B,,,,,CENTURY ENKA LTD.,575.25,577.45,563.95,568.95,570.20,577.35,,569.89,,,1341,762857.00,135,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500312,INE213A01029,ONGC,A,,,,,OIL AND NATURAL GAS CORPORATIO,241.35,242.10,237.50,238.00,238.00,239.35,,238.00,,,1020191,244973641.00,5796,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500325,INE002A01018,RELIANCE,A,,,,,RELIANCE INDUSTRIES LTD.,1320.30,1322.70,1304.00,1307.50,1307.50,1319.40,,1311.00,,,572053,751071965.00,16438,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500331,INE318A01026,PIDILITIND,A,,,,,PIDILITE INDUSTRIES LTD.,1673.00,1673.00,1645.00,1650.00,1650.00,1673.05,,1650.00,,,121087,201275429.00,1762,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500420,INE685A01028,TORNTPHARM,A,,,,,TORRENT PHARMACEUTICALS LTD.,4975.35,5031.05,4945.00,5013.00,5013.00,4975.00,,5013.00,,,88307,440322359.00,2215,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500470,INE081A01020,TATASTEEL,A,,,,,TATA STEEL LTD.,184.85,185.00,182.45,184.00,184.00,185.20,,184.00,,,1048518,192521127.00,8543,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500488,INE358A01014,ABBOTINDIA,A,,,,,ABBOTT INDIA LTD.,26500.35,26700.00,26302.50,26400.00,26350.00,26587.05,,26400.29,,,47800,1263827581.00,1037,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500510,INE018A01030,LT,A,,,,,LARSEN & TOUBRO LTD.,4065.00,4065.05,4023.90,4030.10,4030.10,4082.00,,4041.26,,,59848,241706436.00,8693,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500520,INE101A01026,M&M,A,,,,,MAHINDRA & MAHINDRA LTD.,3408.55,3425.10,3370.35,3412.30,3412.30,3416.00,,3415.00,,,73407,250230984.00,4904,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500570,INE155A01022,TMPV,A,,,,,TATA MOTORS PASSENGER VEHICLES,323.50,323.90,320.10,322.00,322.00,323.00,,321.31,,,989037,318607389.00,16278,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500660,INE159A01016,GLAXO,A,,,,,GLAXOSMITHKLINE PHARMACEUTICAL,2854.85,3051.00,2854.85,3034.05,3034.05,2883.20,,3032.46,,,99093,297188664.00,7487,F1,1,,,,,
